"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"ELPA","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","",".",".",".",".","",".","",".",".",".",".",".","",".",".",".","100.0",".","."
"Sophomore","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Junior","2","4.000","100.0",".",".",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Senior","2","3.750","50.0",".","50.0",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","6","3.889","66.7",".","16.7",".","",".","",".",".",".",".",".","",".",".",".","16.7",".","."
"Special","39","3.987","97.4","2.6",".",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","341","3.880","63.3","6.5","3.5","0.3","",".","",".","0.3","20.2","0.3",".","",".","3.5","1.8",".",".","0.3"
"Prof Yr 2","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".","",".",".",".",".",".","."
