"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","712
002","19","3.447","31.6","36.8","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","40","3.525","35.0","42.5","15.0","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"","741
001","26","3.769","57.7","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
002","23","3.761","65.2","21.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","49","3.765","61.2","30.6","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
003","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
005","14","3.926","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
011","10","3.787","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
013","18","3.828","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
014","13","3.879","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
015","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","103","3.860","80.6","11.7","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultatn&Suprvsn-Soc Work","842
001","28","3.804","75.0","17.9","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","860
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Hlth, Aging, Disablty","001
874","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","875
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","920
001","27","3.648","51.9","29.6","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","921
001","19","3.553","36.8","36.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","923
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","935
001","24","3.771","66.7","20.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","935
002","16","3.656","62.5","6.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Com Mental Health Services","Course Total","40","3.725","65.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
051","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"Soc Work Applicatns of Rsch","991
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 294 of 399",""
