"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"470
Smr:Hispanic Lit/Cultr/Ling","001","","11","3.409","45.5","9.1","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"501
Surv-Span Am Lit:Disc-Modrn","001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"543
Spanish Phonology","001","","17","3.618","58.8","17.6","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"545
College Teaching of Spanish","001","","15","3.577","53.3","20.0",".",".","13.3",".",".","13.3",".",".",".",".",".",".",".","."
"627
Historia-Teoria Literaria","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"701
Textual Criticism","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Smr-Spanish American Lit","001","","14","3.846","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"842
Seminar-Medieval Literature","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"861
Seminar-Modern Spanish Lit","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
"982
Smr-Latin American Area","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","25","",".",".",".",".",".",".",".","76.0","4.0",".",".","20.0",".",".",".","."
