"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"289","018","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"289","041","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"289","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","6","3.938","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","36","3.980","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Introduction-Biochemistry","001","","338","3.120","29.0","10.7","34.0","10.9","13.3","1.8",".","0.3",".",".",".",".",".",".",".","."
"507
General Biochemistry I","001","","201","2.826","26.4","12.9","16.4","11.9","24.9","3.0","4.5",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","6","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"511","001","","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","003","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","","58","3.914","86.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Protein&Enzyme Struct&Funct","001","","82","3.122","18.3","32.9","30.5","11.0","2.4",".","4.9",".",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","22","3.325","36.4","18.2","22.7","4.5","4.5","4.5",".",".",".",".",".",".",".","4.5",".","4.5"
"624
Mechanisms of Enzyme Action","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"630
Cellulr Signal Transductn Mech","001","","24","3.125","12.5","25.0","58.3",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"651
Biochemical Methods","001","","64","3.453","39.1","37.5","14.1",".","7.8",".","1.6",".",".",".",".",".",".",".",".","."
"660
Methods in Biochemistry","001","","21","3.750","57.1","28.6","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","11","3.727","72.7",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 11 of 406"
