"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"600","001","","16","3.656","62.5","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"600","003","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","Course Total","","33","3.803","75.8","12.1","9.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"710
Fld Investigtn-Wetland Ecol","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"809
Energy Analys & Policy Smr","001","","6","3.885","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"843
Land Use Policy & Planning","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"860
Sci & Envir Communication","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"865
Water Resrce Inst&Policies","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","17","3.947","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","41","3.972","95.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Envr St Orient Fld Trip&Smr","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"970
Colloq-Trnsportatn Mgmt&Policy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"975
Consrv Biol&Sustain Dev Smr","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
