"PORTUGUESE (SPANISH & POR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","",""
"","101
001","22","2.727","27.3","13.6","4.5","13.6","27.3","13.6",".",".",".",".",".",".",".",".",".","."
"","101
002","22","2.932","36.4","22.7",".","9.1","22.7",".","9.1",".",".",".",".",".",".",".",".","."
"","003
101","21","3.190","42.9","19.0","9.5","9.5","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"","101
004","24","2.729","16.7","12.5","25.0","16.7","20.8","4.2","4.2",".",".",".",".",".",".",".",".","."
"","101
005","18","2.722","33.3",".","22.2","11.1","16.7","11.1","5.6",".",".",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","107","2.860","30.8","14.0","12.1","12.1","20.6","5.6","4.7",".",".",".",".",".",".",".",".","."
"","201
001","16","2.933","31.3","12.5","12.5","12.5","18.8",".","6.3",".",".",".",".",".",".","6.3",".","."
"","201
002","24","3.063","37.5","4.2","20.8","16.7","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","40","3.013","35.0","7.5","17.5","15.0","17.5","2.5","2.5",".",".",".",".",".",".","2.5",".","."
"Intro-Luso-Brazilian Lits","221
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","225
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","23","3.652","47.8","34.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311
001","20","3.700","65.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"History of Portuguese Language","330
001","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lusophone African LIt","451
001","8","3.700","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Survey-Port Lit since 1825","467
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
000A","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
000B","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Topics-Portug: Study Abroad","Course Total","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Brazilian Literature","751
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
