"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"613","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","","11","3.813","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"614","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"614","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"614","021","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"614","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"614","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac II","Course Total","","28","3.963","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"615","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"615","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac III","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"672
Clinicl Educ-Nursing Pract","001","","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","3","***","","","","","","","","","","","","","","","",""
"700
Nursing Research I","001","","43","3.814","81.4",".","18.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Interpretv Rsch-Health Care","001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Hlth Promo&Disease Prevention","001","","29","3.897","82.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Hlth Care & Public Policy-US","001","","27","3.537","48.1","25.9","18.5",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"704
Leadershp-Roles,Ethics,Care","001","","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Preventn&Mgmt-Hlth Probs I","040","","12","3.500","66.7","8.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"716","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"716","020","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 387 of 406",""
