"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"N E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","",".",".",".",".",".",".",".",".","",".","88.9","11.1",".",".",".",".","."
"Sophomore","","15","",".",".",".",".",".",".",".",".","",".","100.0",".",".",".",".",".","."
"Junior","","8","2.833","12.5","12.5",".",".",".","12.5",".",".","",".","62.5",".",".",".",".",".","."
"Senior","","123","3.209","25.2","17.9","29.3","8.9","8.9","1.6","0.8",".","",".","4.9",".",".","0.8",".",".","1.6"
"Undergraduates","","155","3.200","20.6","14.8","23.2","7.1","7.1","1.9","0.6",".","",".","21.9","0.6",".","0.6",".",".","1.3"
"Special","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","137","3.549","27.0","16.1","15.3","1.5",".",".",".","36.5","",".",".",".","3.6",".",".",".","."
"","Dept. Total","294","3.333","24.1","15.3","19.4","4.4","3.7","1.0","0.3","17.0","",".","11.6","0.3","1.7","0.3",".",".","0.7"
