"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Intro to Discrete Mathematics","240
001","40","3.025","30.0","12.5","15.0","22.5","17.5","2.5",".",".",".",".",".",".",".",".",".","."
"","252
001","31","3.387","35.5","35.5","12.9","3.2","12.9",".",".",".",".",".",".",".",".",".",".","."
"","252
002","28","3.304","42.9","21.4","10.7","10.7","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","59","3.347","39.0","28.8","11.9","6.8","11.9","1.7",".",".",".",".",".",".",".",".",".","."
"","298
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
006","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","298
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
010","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","298
011","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","298
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","31","",".",".",".",".",".",".",".",".",".","96.8","3.2",".",".",".",".","."
"","302
001","51","3.090","33.3","11.8","25.5","13.7","7.8","2.0","3.9","2.0",".",".",".",".",".",".",".","."
"","302
002","70","2.851","17.1","2.9","44.3","20.0","4.3","2.9","4.3","4.3",".",".",".",".",".",".",".","."
"","302
004","20","2.600","30.0",".","30.0","10.0","5.0","15.0","10.0",".",".",".",".",".",".",".",".","."
"","302
005","21","2.889","19.0","9.5","28.6","19.0",".","4.8","4.8","14.3",".",".",".",".",".",".",".","."
"","302
006","20","2.950","25.0",".","40.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","302
007","18","2.694","11.1","11.1","44.4","16.7","5.6",".","11.1",".",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","200","2.886","23.0","6.0","36.0","17.0","5.5","4.0","5.0","3.5",".",".",".",".",".",".",".","."
"Prob Solvng Using Computers","310
001","210","3.144","19.0","14.3","50.5","9.5","4.8","0.5","0.5","0.5",".",".",".",".",".","0.5",".","."
"Digital System Fundamentals","352
001","20","2.975","15.0","30.0","15.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354
001","36","3.361","44.4","19.4","19.4","2.8","11.1","2.8",".",".",".",".",".",".",".",".",".","."
"","367
001","18","2.750","22.2","11.1","16.7","16.7","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"","367
002","61","3.000","14.8","39.3","18.0","13.1","4.9","1.6","6.6",".",".",".",".",".",".","1.6",".","."
"","367
003","33","3.094","27.3","15.2","21.2","15.2","18.2",".",".",".",".",".",".",".",".","3.0",".","."
"Intro to Data Structures","Course Total","112","2.986","19.6","27.7","18.8","14.3","11.6","2.7","3.6",".",".",".",".",".",".","1.8",".","."
"Learn New Programming Lang","368
001","44","",".",".",".",".",".",".",".",".",".","88.6","11.4",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","64","2.825","15.6","14.1","26.6","20.3","17.2","1.6","3.1",".",".",".",".",".",".","1.6",".","."
"Foundations-Scientifc Computng","416
001","15","2.900","26.7",".","26.7","20.0","26.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","15","3.233","46.7","13.3","20.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Numerical Linear Algebra","513
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theoretical Comp Sci","520
001","12","2.875","25.0","8.3","16.7","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","10","3.250","30.0","20.0","10.0",".","20.0",".",".",".",".",".",".",".","10.0",".","10.0","."
"Intro-Progm Langs&Compilers","536
001","28","2.696","21.4","21.4","28.6","3.6","7.1",".","17.9",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","537
001","60","3.345","35.0","31.7","16.7","5.0","10.0","1.7",".",".",".",".",".",".",".",".",".","."
"Thry & Desgn-Progrmg Langs","538
001","26","3.250","38.5","30.8","15.4","3.8","3.8",".","7.7",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540
001","41","2.859","22.0","17.1","14.6","19.5","12.2","7.3","2.4",".",".",".",".",".",".","4.9",".","."
"Intro-Computer Architecture","552
001","10","2.833","10.0","20.0","10.0","30.0","20.0",".",".",".",".",".",".",".",".","10.0",".","."
"Intro-Computationl Geometry","558
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Mgt Systems","564
001","34","3.225","47.1","11.8","17.6","8.8","8.8","2.9","2.9",".",".",".",".",".",".",".",".","."
"","577
001","47","3.064","23.4","19.1","36.2","6.4","10.6",".","4.3",".",".",".",".",".",".",".",".","."
"","577
002","14","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 189 of 403",""
