"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"ESL: Grammar-Academic Use","115
001","18","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"","116
001","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","116
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","44","",".",".",".",".",".",".",".",".",".","97.7","2.3",".",".",".",".","."
"","117
001","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
004","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
005","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
006","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
007","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
008","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Academic Writing I","Course Total","115","",".",".",".",".",".",".",".",".",".","96.5","3.5",".",".",".",".","."
"","118
001","16","3.594","31.3","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","12","3.500","41.7","16.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
003","13","3.333","23.1","23.1","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","7.7"
"","118
004","14","3.179","42.9","14.3","14.3","21.4",".",".","7.1",".",".",".",".",".",".",".",".","."
"","118
005","16","3.438","75.0",".",".","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","118
006","12","2.958","16.7","33.3","25.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","118
007","15","3.533","26.7","53.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
008","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
009","13","3.154","30.8","23.1","7.7","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"","118
010","14","3.214","42.9","14.3","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"ESL: Academic Writing II","Course Total","139","3.366","38.8","26.6","18.7","7.2","5.8",".","2.2",".",".",".",".",".",".",".",".","0.7"
"ESL:Oral Communicatn Skills","122
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Shakespeare","162
001","231","3.100","22.1","21.6","32.9","9.5","10.0","0.9","2.2","0.9",".",".",".",".",".",".",".","."
"","168
001","295","3.161","18.3","28.8","31.2","14.6","4.1","0.7","1.4","0.3",".",".",".",".","0.3",".","0.3","."
"","168
002","29","3.432","27.6","20.7","17.2","10.3",".",".",".","24.1",".",".",".",".",".",".",".","."
"","168
003","132","3.191","15.9","28.8","40.2","9.1","4.5",".","0.8",".",".",".",".",".","0.8",".",".","."
"Intro to Modern Lit since 1900","Course Total","456","3.184","18.2","28.3","32.9","12.7","3.9","0.4","1.1","1.8",".",".",".",".","0.4",".","0.2","."
"","169
001","283","3.349","26.1","38.2","22.3","7.1","3.2",".","1.4","0.7",".",".",".",".",".","1.1",".","."
"","169
002","293","3.204","16.4","36.2","29.7","10.6","5.8",".","1.0","0.3",".",".",".",".",".",".",".","."
"","169
003","33","3.742","57.6","39.4",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern American Lit","Course Total","609","3.300","23.2","37.3","24.6","8.4","4.4",".","1.1","0.5",".",".",".",".",".","0.5",".","."
"","201
001","16","3.688","62.5","25.0","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","201
002","19","3.842","84.2",".","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","18","3.941","83.3","11.1",".",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"","201
004","18","3.444","38.9","33.3","22.2",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","201
005","17","3.647","52.9","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","201
006","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","18","3.556","77.8","11.1",".",".",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","201
008","17","3.676","52.9","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
010","18","3.500","61.1","22.2","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 201 of 403",""
