"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"URB R PL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","",".",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".","100.0","."
"Sophomore","14","3.057","14.3","21.4","35.7","21.4","7.1","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","17","3.466","35.3","35.3","23.5","5.9",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","64","3.285","34.4","31.3","18.8","6.3","3.1","",".","3.1","1.6","",".",".","",".",".","",".",".","1.6","."
"Undergraduates","96","3.279","31.3","30.2","21.9","8.3","3.1","",".","2.1","1.0","",".",".","",".",".","",".",".","2.1","."
"Special","8","3.861","62.5","37.5",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","212","3.739","53.8","34.4","6.6","1.4",".","",".",".","1.9","",".",".","",".","0.5","",".","0.5","0.9","."
"Prof Yr 2","2","3.625","50.0","50.0",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","2","3.625","50.0","50.0",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
