"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","BC","","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Issues in Ag, Envir & Life Sci","155
001","128","3.836","88.3","3.1","5.5",".","","1.6",".","","1.6",".","",".","",".",".","",".","",".","",".",".","."
"WISE Seminar","175
001","37","3.905","81.1","18.9",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","375
001","17","3.947","88.2","11.8",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","004
375","16","4.000","100.0",".",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Special Topics","Course Total","33","3.984","93.9","6.1",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"CALS Honor Interdis Jr Seminar","388
001","12","4.000","100.0",".",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Honors Research Colloquium","488
001","15","",".",".",".",".","",".",".","",".",".","",".","","100.0",".","",".","",".","",".",".","."
"","875
004","6","3.917","83.3","16.7",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","005
875","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","012
875","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Special Topics","Course Total","10","3.952","90.0","10.0",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"INTER-AG
494","Dept. Total","235","3.899","83.0","6.0","3.0","",".","0.9","",".","0.9","",".","",".","6.4","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","138","3.844","87.7","5.1","4.3","",".","1.4","",".","1.4","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","28","3.922","85.7","10.7","3.6","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","21","3.964","81.0","9.5",".","",".",".","",".",".","",".","",".","9.5","",".","",".","",".",".",".","."
"Senior","","37","3.988","62.2","2.7",".","",".",".","",".",".","",".","",".","35.1","",".","",".","",".",".",".","."
"Undergraduates","","224","3.894","82.6","5.8","3.1","",".","0.9","",".","0.9","",".","",".","6.7","",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","10","3.952","90.0","10.0",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","235","3.899","83.0","6.0","3.0","",".","0.9","",".","0.9","",".","",".","6.4","",".","",".","",".",".",".","."
