"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
105","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
105","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
105","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
105","23","3.913","91.3",".","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","74","3.946","91.9","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","003
110","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","24","4.000","95.8",".",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","115
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
115","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
115","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
115","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
115","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
115","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","008
115","12","3.750","75.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","009
115","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
115","10","3.300","60.0","10.0",".","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","011
115","11","3.182","36.4","36.4","9.1",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","012
115","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
115","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","015
115","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
115","12","3.792","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","017
115","12","3.083","41.7","25.0",".","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"","018
115","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
115","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
115","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
115","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","022
115","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","025
115","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","026
115","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","027
115","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","028
115","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","030
115","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","031
115","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","032
115","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","275","3.795","80.4","10.9","2.9","2.5","2.2","0.4","0.7",".",".",".",".",".",".",".",".","."
"","620
001","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","002
620","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
620","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
620","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","021
620","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","31","3.951","87.1","6.5",".",".",".",".",".","3.2",".",".",".",".","3.2",".",".","."
"Theory & Prac-Interviewing","650
001","100","3.803","86.0",".","8.0","1.0","3.0",".","1.0",".",".",".",".",".",".",".",".","1.0"
"Career Dev Through Life Spn","665
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 79 of 410"
