"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","",""
"Art & Archaeology-Ancient Rome","304
001","37","3.361","40.5","18.9","13.5","18.9","5.4",".",".","2.7",".",".",".","",".","",".","",".",".","."
"Civilizat of Ancient Rome","322
001","125","3.266","28.8","28.8","22.4","10.4","3.2","3.2","0.8","1.6","0.8",".",".","",".","",".","",".",".","."
"Gendr&Sexualty-Classcl Wrld","351
001","20","3.700","75.0","5.0","10.0","5.0","5.0",".",".",".",".",".",".","",".","",".","",".",".","."
"Classical Mythology","370
001","411","3.243","36.5","22.9","15.1","10.2","9.0","3.2","1.2","1.9",".",".",".","",".","",".","",".",".","."
"Classcl Backgrd-English Lit","554
001","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".","",".","",".","",".",".","."
"Undergrad Smr:Classicl Wrld","591
001","15","3.700","73.3","13.3",".","6.7","6.7",".",".",".",".",".",".","",".","",".","",".",".","."
"","699
002","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
014","4","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Reading","Course Total","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Art & Archaeology-Ancient Rome","704
001","4","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"CLASSICS
244","Dept. Total","632","3.304","38.6","23.3","15.3","10.1","7.1","2.7","0.9","1.7","0.2",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","2.718","10.3","28.2","20.5","7.7","20.5","10.3","2.6",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","216","3.294","36.1","26.4","17.6","10.2","6.5","1.4","1.9",".",".",".","",".","",".","",".",".",".","."
"Junior","","193","3.425","44.6","23.3","13.5","10.9","7.3","0.5",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","169","3.266","38.5","19.5","14.8","10.7","5.3","5.3","0.6","4.7","0.6",".","",".","",".","",".",".",".","."
"Undergraduates","","617","3.291","37.8","23.7","15.7","10.4","7.3","2.8","1.0","1.3","0.2",".","",".","",".","",".",".",".","."
"Special","","3","",".",".",".",".",".",".",".","100.0",".",".","",".","",".","",".",".",".","."
"Graduate","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","632","3.304","38.6","23.3","15.3","10.1","7.1","2.7","0.9","1.7","0.2",".","",".","",".","",".",".",".","."
