"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","14","",".",".",".",".",".",".",".","64.3","7.1",".",".","28.6",".",".",".","."
"991","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
