"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"265
Intro-Medical Physics","001","","9","3.111",".","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"410
Radiobiology","001","","45","3.420","28.9","31.1","31.1","6.7",".",".",".","2.2",".",".",".",".",".",".",".","."
"506
Monte Carlo Radiatn Transport","001","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"559
Patient Safety&Error Reduction","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"566
Physics of Radiotherapy","001","","26","3.674","53.8","19.2","11.5",".","3.8",".",".","7.7",".",".",".",".",".",".",".","3.8"
"568
Magnetc Resonance Imag(MRI)","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"569
Health Physics","001","","28","3.653","50.0","28.6","14.3","3.6",".",".",".","3.6",".",".",".",".",".",".",".","."
"574
Med Imag Sci:Stochastic Aspect","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Diagnos Ultrasound Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"662
Rad Lab-Diagnstc Rad Phys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"663
Rad Lab-Nuc Med Physics","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"664
Rad Lab - Health Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"665
Rad Lab:CT,MRI,&DSA Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"775
Advanced Ultrasound Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812
Radiation Med Physics Clerkshp","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Journal Club and Seminar","001","","24","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","13","",".",".",".",".",".",".",".","46.2",".",".",".","53.8",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","67","",".",".",".",".",".",".",".","71.6",".",".",".","28.4",".",".",".","."
