"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"Romantic Poetry","463","001","","28","3.696","71.4","10.7","7.1","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Studies in Romantic Lit","465","001","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Victorian Lit","466","001","","25","3.520","48.0","16.0","32.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Outstnd Figures-19c Eng Lit","467","001","","33","3.531","33.3","45.5","9.1","9.1",".",".",".","3.0",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Figures of Contemp Eng Lit","500","009","","33","3.333","30.3","39.4","12.1","9.1","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"Mod British or Am Lit-Bkgrd","513","008","","29","3.321","34.5","20.7","20.7","13.8","6.9",".",".","3.4",".",".",".",".",".",".",".","."
"Brit Drama, 1914 to Present","538","001","","11","3.136","9.1","18.2","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Critical Theories","553","001","","26","3.385","30.8","26.9","34.6","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","591","001","","24","3.063","8.3","29.2","41.7","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","107","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Creative Writing","695","114","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","076","","13","3.875","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","114","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","122","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","39","3.961","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Composition Studies","700","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meths-Compositn Study","703","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meths-Applied Linguistics","711","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topc-Contmp English Linguis","713","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Meth-Brit & Amer Lit","723","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","727","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","727","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Theory","","Course Total","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Renaissance Lit","764","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Fiction Workshop","781","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 204 of 407",""
