"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"103","001","","15","2.967","46.7","13.3","6.7","6.7","6.7","13.3","6.7",".",".",".",".",".",".",".",".","."
"103","002","","14","3.538","42.9","28.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".","7.1","."
"First Semester Greek","Course Total","","29","3.232","44.8","20.7","10.3","3.4","6.9","6.9","3.4",".",".",".",".",".",".",".","3.4","."
"303","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"303","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Greek","Course Total","","5","***","","","","","","","","","","","","","","","",""
"305
Intermediate Greek","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
Greek Tragedy","001","","14","3.577","50.0","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".","7.1",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
