"POPULATION HEALTH SCIENCE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","",""
"Intro to Biology of Aging","155
001","25","3.000","28.0",".","52.0",".","16.0",".","4.0",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502
001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth","551
001","12","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","640
001","18","3.765","61.1","22.2","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","650
028","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
037","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
038","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
046","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
049","16","3.700","37.5","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"Special Topics","Course Total","62","3.853","75.8","22.6",".",".",".",".",".",".",".",".",".",".",".",".",".","1.6"
"","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-Population Med&Epidemiol","717
001","156","",".",".",".",".",".",".",".","98.7","1.3",".",".",".",".",".",".","."
"","718
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","718
002","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Health Systems","Course Total","54","3.991","98.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Contemp Iss:Health Care","719
001","7","3.636","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth: Principles&Pract","780
001","38","3.684","44.7","47.4","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Health Field Experience","788
001","12","3.759","50.0","33.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Biol Basis-Population Health","794
001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Principles-Populatn Health Sci","795
001","29","3.643","51.7","24.1","17.2","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","797
001","78","3.776","60.3","35.9","2.6","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Epidemiol: Etiol&Preventn","802
001","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","820
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Meth-Populatn Health II","900
001","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","904
001","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","904
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","904
004","47","3.872","76.6","21.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Epidemiology","Course Total","69","3.877","76.8","21.7","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiol Elect-Div of Hlth","911
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","912
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","912
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CompUtiliz-ClinLab-StateLab","Course Total","2","***","","","","","","","","","","","","","","","",""
"","913
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","913
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Chem-Newborn-StateLab","Course Total","2","***","","","","","","","","","","","","","","","",""
"","915
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 371 of 407",""
