"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201
Biomed Engineering Design","001","","48","3.510","35.4","31.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Biomed Engineering Design","001","","38","3.539","21.1","65.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"310","001","","57","3.518","40.4","26.3","29.8","3.5",".",".",".",".",".",".",".",".",".",".",".","."
"310","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bioinstrumentation","Course Total","","58","3.509","39.7","25.9","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"389
Honors in Research","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.914","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"402
Biomedical Engineering Design","001","","48","3.677","50.0","35.4","14.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","59","3.336","25.4","37.3","25.4","5.1","3.4",".","1.7","1.7",".",".",".",".",".",".",".","."
"461
Math&Comp Model-Physiol Sys","001","","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Therapeutic Medical Devices","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Stem Cell Bioengineering","001","","25","3.565","36.0","32.0","24.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","16","3.433","31.3","25.0","31.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"564
Occupatnl Ergonics&Biomechancs","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"568
Magnetc Resonance Imag(MRI)","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"574
Med Imag Sci:Stochastic Aspect","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"575
Diagnos Ultrasound Physics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","002","","18","3.412","27.8","38.9","16.7","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"601","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","27","3.500","48.1","25.9","14.8","3.7","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
