"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","161","2.730","20.5","8.1","19.9","14.3","31.1","1.9","3.1","1.2",".",".",".",".",".",".",".","."
"","100","002","116","2.754","19.8","6.9","20.7","16.4","32.8","3.4",".",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","277","2.740","20.2","7.6","20.2","15.2","31.8","2.5","1.8","0.7",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","101","2.670","10.9","15.8","15.8","21.8","25.7","4.0","2.0","4.0",".",".",".",".",".",".",".","."
"","104","001","346","2.984","12.7","18.2","37.6","15.6","11.3","1.7","0.3","1.7",".",".",".",".","0.6","0.3",".","."
"","104","002","354","3.093","16.1","22.3","36.7","10.5","11.0","0.6","0.3","2.3",".",".",".",".",".","0.3",".","."
"Cult Anthro&Human Diversity","","Course Total","700","3.039","14.4","20.3","37.1","13.0","11.1","1.1","0.3","2.0",".",".",".",".","0.3","0.3",".","."
"Principles - Biological Anthro","105","001","177","3.114","31.1","11.9","24.9","16.4","14.1",".","1.1",".",".",".",".",".",".",".",".","0.6"
"Principles of Archaeology","112","001","109","2.949","12.8","26.6","30.3","14.7","9.2","1.8","3.7","0.9",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","24","2.727","8.3","4.2","37.5","12.5","29.2",".",".","8.3",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","48","3.076","14.6","22.9","29.2","20.8","8.3",".",".","4.2",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","32","3.000","18.8","25.0","15.6","18.8","15.6","3.1",".","3.1",".",".",".",".",".",".",".","."
"Hominoid Evolution","302","001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","11","3.636","81.8",".",".",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Archaeological Chemistry","311","001","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","002","9","2.980","33.3","11.1","11.1",".","22.2","11.1",".","11.1",".",".",".",".",".",".",".","."
"Prehistory of Africa","333","001","21","3.238","33.3","23.8","19.0","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","27","3.426","29.6","37.0","29.6",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Anthro Approach to Folklore","344","001","16","3.567","56.3","6.3","18.8","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"Archaeology of Wisconsin","354","001","54","3.151","38.9","3.7","20.4","18.5","16.7",".",".","1.9",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Peoples&Cult-Cent&East Europe","369","001","33","3.614","57.6","18.2","9.1","12.1",".",".",".","3.0",".",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","18","3.294","44.4","11.1","16.7",".","22.2",".",".","5.6",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","40","3.051","37.5","10.0","12.5","15.0","17.5","2.5","2.5",".",".",".",".",".",".",".",".","2.5"
"Evolution of Genus, Homo","411","001","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"American Indian Folklore","431","001","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","001","14","3.071","21.4","14.3","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","490","002","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","490","003","17","3.324","23.5","41.2","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","43","3.417","41.9","20.9","18.6","9.3","7.0",".",".",".",".",".",".",".",".","2.3",".","."
"Ecological Models-Behavior","658","001","12","3.417","33.3","41.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Problems in Anthropology","690","001","15","3.844","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","078","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
