"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.588","63.2","10.5","10.5",".",".",".","5.3","10.5",".",".",".",".",".",".",".","."
"","101
003","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","22","3.477","50.0","27.3","13.6","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","101
006","14","3.654","57.1","14.3","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","101
010","20","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
011","22","3.571","40.9","31.8","18.2","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","101
012","17","3.538","41.2","11.8","17.6",".","5.9",".",".","23.5",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","132","3.617","52.3","24.2","12.9","2.3","0.8",".","1.5","6.1",".",".",".",".",".",".",".","."
"","102
001","11","3.409","45.5","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
003","18","3.611","55.6","16.7","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","18","3.853","72.2","16.7","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","102
006","16","3.500","37.5","25.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".","6.3","."
"","102
007","16","3.250","18.8","50.0","12.5",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"","102
009","18","3.278","22.2","22.2","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","17","3.588","58.8","23.5",".","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
012","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","136","3.496","43.4","25.0","19.9","6.6","3.7",".",".","0.7",".",".",".",".",".",".","0.7","."
"Second Semester Italian Honors","182
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","20","3.639","55.0","25.0","5.0",".",".","5.0",".","10.0",".",".",".",".",".",".",".","."
"","201
003","15","3.769","60.0","13.3","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","35","3.694","57.1","20.0","8.6",".",".","2.9",".","11.4",".",".",".",".",".",".",".","."
"","203
001","21","3.500","42.9","19.0","28.6",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","203
003","22","3.841","81.8","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","22","3.405","31.8","27.3","27.3","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","65","3.587","52.3","18.5","20.0","3.1","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"","204
001","23","3.457","56.5","13.0","21.7",".",".","8.7",".",".",".",".",".",".",".",".",".","."
"","204
002","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","43","3.651","69.8","9.3","16.3",".",".","4.7",".",".",".",".",".",".",".",".",".","."
"","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Adv Compostn&Converstn","312
001","17","3.594","41.2","35.3","11.8","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","18","3.642","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corso Di Stilistca Applicta","423
001","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","453
001","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Il Settecento","622
001","11","3.900","81.8",".","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Independent Study","799
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Romance Philology","817
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","952
001","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
