"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","11
001","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","11
002","21","3.625","61.9","23.8","4.8",".",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"Modern Dance I","Course Total","38","3.730","68.4","21.1","5.3",".",".",".","2.6","2.6",".",".",".",".",".",".",".","."
"Modern Dance Technique II","112
001","11","3.550","36.4","45.5",".",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Modern Dance II","12
001","17","3.563","64.7","11.8","11.8",".",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Rhythmic Training for Dancers","144
001","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151
001","14","3.250","35.7","42.9",".","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Asian American Movement","153
001","10","3.889","70.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"World Dance Cultures","165
001","23","3.545","56.5","13.0","17.4","4.3",".","4.3",".",".",".",".",".",".",".","4.3",".","."
"Intro-Movement Analysis","167
001","16","3.781","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","170
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Production Laboratory","171
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Dance Performance","200
001","13","3.692","84.6",".",".",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Dance","205
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21
001","27","3.659","44.4","18.5","18.5",".",".",".",".","18.5",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211
001","20","3.574","35.0","50.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212
001","19","3.830","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
001","11","3.636","63.6","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","226
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II-B","Course Total","19","3.737","68.4","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro:Dynamcs-Dance Therapy","232
001","12","3.583","50.0","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"African Dance Performance","277
001","28","3.463","32.1","32.1","25.0","7.1",".",".",".","3.6",".",".",".",".",".",".",".","."
"","31
001","30","3.696","53.3","30.0","6.7",".","3.3",".",".","3.3",".",".",".",".",".","3.3",".","."
"","31
002","24","3.381","20.8","25.0","41.7",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Modern Jazz Dance","Course Total","54","3.561","38.9","27.8","22.2",".","1.9",".",".","7.4",".",".",".",".",".","1.9",".","."
"Modern Dance Technique VI","312
001","9","3.283","55.6","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
063","8","3.529","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Independent Project","Course Total","12","3.614","83.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","41
001","48","3.750","70.8","14.6","2.1","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"","41
002","48","3.802","62.5","20.8","4.2","2.1",".",".",".","10.4",".",".",".",".",".",".",".","."
"","41
003","44","3.756","52.3","29.5","6.8",".",".",".",".","11.4",".",".",".",".",".",".",".","."
"","41
004","47","3.844","74.5","12.8","8.5",".",".",".",".","2.1",".",".",".",".",".",".","2.1","."
"","41
005","46","3.795","58.7","21.7",".","4.3",".",".",".","15.2",".",".",".",".",".",".",".","."
"","41
006","35","3.758","74.3","8.6","5.7","2.9",".","2.9",".","5.7",".",".",".",".",".",".",".","."
"","41
007","35","3.868","91.4","2.9",".",".",".",".","2.9","2.9",".",".",".",".",".",".",".","."
"Ballroom Dancing","Course Total","303","3.796","68.3","16.5","4.0","2.0","0.7","0.3","0.3","7.6",".",".",".",".",".",".","0.3","."
"Ballroom Dance II","001
42","31","3.796","64.5","16.1","3.2",".","3.2",".",".","12.9",".",".",".",".",".",".",".","."
