"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","24","3.625","45.8","41.7","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","116","002","","24","3.667","37.5","58.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","48","3.646","41.7","50.0","6.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","","93","3.720","53.8","37.6","7.5","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121","001","","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","","39","3.513","43.6","20.5","30.8","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","22","3.886","90.9",".","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","44","3.905","90.9","4.5","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","42","3.476","31.0","38.1","26.2","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","","19","3.553","36.8","42.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","","43","3.488","51.2","25.6","4.7","7.0","11.6",".",".",".",".",".",".",".",".",".",".","."
"","323","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","45","3.978","95.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","","30","3.783","60.0","36.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Teachng Elem Phy Ed","335","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","","59","3.288","25.4","32.2","23.7","11.9","6.8",".",".",".",".",".",".",".",".",".",".","."
"Rehab/Treat Athltc Injuries","358","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","46","3.609","58.7","17.4","10.9","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","9","3.857","55.6","22.2",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Exercise Psychology","600","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Tech-Exercise Physiol","615","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics","618","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 102 of 410",""
