"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Stats for Sociologists II","361
001","30","3.417","20.0","46.7","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","34","3.368","32.4","29.4","32.4","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365
002","19","3.211","21.1","42.1","26.3",".",".","10.5",".",".",".",".",".",".",".",".",".","."
"Contemp Populatn Probs-Honors","380
001","20","3.450","40.0","15.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","100","3.310","38.0","16.0","27.0","12.0","5.0","2.0",".",".",".",".",".",".",".",".",".","."
"","475
001","42","3.321","52.4","11.9","9.5","9.5","14.3",".","2.4",".",".",".",".",".",".",".",".","."
"","475
002","15","3.400","33.3","26.7","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","475
003","28","3.389","32.1","35.7","7.1","17.9","3.6",".",".",".",".",".",".",".",".",".",".","3.6"
"","475
004","27","3.111","25.9","18.5","22.2","25.9","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","112","3.297","38.4","21.4","14.3","16.1","7.1","0.9","0.9",".",".",".",".",".",".",".",".","0.9"
"","496
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
496","23","3.770","91.3",".","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","496
008","17","3.688","52.9","23.5","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","496
009","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
011","14","3.357","28.6","21.4","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","496
012","11","3.273",".","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","013
496","24","3.761","83.3","4.2","4.2",".",".",".","4.2","4.2",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","114","3.622","64.9","14.0","12.3","4.4","0.9",".","1.8","0.9",".",".",".",".","0.9",".",".","."
"","530
002","30","2.683","16.7","16.7","20.0","13.3","20.0","10.0","3.3",".",".",".",".",".",".",".",".","."
"","530
003","20","2.450","15.0","5.0","10.0","25.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","50","2.606","16.0","12.0","16.0","18.0","26.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"","532
001","24","3.453","25.0","45.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","532
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","29","3.378","20.7","44.8","20.7","13.8",".",".",".",".",".",".",".",".",".",".",".","."
"Community Organization&Change","573
001","21","3.602","66.7","9.5","4.8","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"Gender, Science & Technology","611
001","14","3.214","35.7","28.6","21.4",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Community Development","617
001","17","3.588","47.1","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Class,State&Ideol:IntroMarx","621
001","23","3.727","56.5","26.1","13.0",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Political Sociology","624
001","14","2.885","35.7","21.4",".",".","21.4","7.1","7.1","7.1",".",".",".",".",".",".",".","."
"Sociology of Organizations","632
001","21","3.176","23.8","19.0","14.3","9.5","14.3",".",".",".",".",".",".",".","9.5","9.5",".","."
"Social Stratification","633
001","34","3.162","17.6","35.3","23.5","20.6",".",".","2.9",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","40","2.833","22.5","17.5","25.0",".","20.0","10.0","2.5",".",".",".",".",".",".",".","2.5","."
"Soc-Occupations&Professions","643
001","34","3.290","50.0","17.6","8.8","2.9","8.8","5.9","2.9","2.9",".",".",".",".",".",".",".","."
"Sociology of Agriculture","650
001","13","3.269","46.2",".","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663
001","16","3.219","37.5","31.3","6.3","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674
001","13","3.462","46.2","23.1","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","698
016","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","698
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
