"CLINICAL LABORATORY SCIENC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Intro to Clinical Lab Science","102
001","42","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Cytology & Lab Procudure","410
001","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Hematology I","515
001","24","3.104","16.7","16.7","54.2","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Clinical Chemistry I","525
001","19","2.947","5.3","10.5","68.4",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"Lab Diagnos-Infect Disease I","535
001","24","2.938","8.3","16.7","50.0","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"The Female Reproductive System","540
001","11","3.091","9.1","18.2","63.6",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Clinical Practice I","541
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Respiratory System","543
001","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Immunohematology","550
001","20","3.100","15.0","15.0","55.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Clin Immunol & Applied Tech","560
001","21","3.167","14.3","33.3","38.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","575
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Lab Science Practicum","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Seminar","620
001","20","3.500","45.0","30.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"CLNLABSC
628","Dept. Total","226","3.247","39.8","17.3","33.2","3.1","5.8","0.9",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","46","3.075","39.1","8.7","37.0","4.3","6.5","4.3",".",".",".",".",".",".",".",".",".","."
"Senior","","118","3.238","31.4","18.6","38.1","4.2","7.6",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","182","3.230","40.1","14.3","34.1","3.8","6.6","1.1",".",".",".",".",".",".",".",".",".","."
"Special","","44","3.297","38.6","29.5","29.5",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","226","3.247","39.8","17.3","33.2","3.1","5.8","0.9",".",".",".",".",".",".",".",".",".","."
