"BUS","","","","","","","","","","","","","","","","","","","",""
"INFORMATION SYSTEMS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","",""
"","365
001","","13","3.958","84.6","7.7",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","365
002","","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","23","3.795","73.9","13.0","4.3",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
003","","14","3.607","64.3","21.4","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Computer-Based Data Mgt","422
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Based Data Mgt","722
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","3","***","","","","","","","","","","","","","","","",""
