"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","126","2.766","19.0","19.8","20.6","5.6","22.2","6.3","4.8","1.6",".",".",".",".",".",".",".","."
"103","002","","134","2.988","24.6","15.7","24.6","10.4","11.9","6.0","1.5","3.0",".",".",".",".",".",".","0.7","1.5"
"The Evolving Universe","Course Total","","260","2.878","21.9","17.7","22.7","8.1","16.9","6.2","3.1","2.3",".",".",".",".",".",".","0.4","0.8"
"104
Exploration of Solar System","001","","132","2.859","17.4","18.9","16.7","18.2","25.0","2.3","0.8","0.8",".",".",".",".",".",".",".","."
"114","001","","9","3.167","33.3","11.1","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"114","002","","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"114","003","","10","3.500","60.0",".","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"114","006","","9","3.000","22.2",".","55.6",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Solar System","Course Total","","37","3.338","45.9","5.4","29.7","8.1","10.8",".",".",".",".",".",".",".",".",".",".","."
"160
Life in the Universe","001","","147","2.598","7.5","12.9","21.1","25.9","22.4","4.8","2.7","2.0","0.7",".",".",".",".",".",".","."
"335
Cosmology","001","","14","3.071","21.4","28.6","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"460
Experience-Astronom Observ","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"550
Astrodynamics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.810","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Basic Astrophysics II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"730
Galaxies","001","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","22","",".",".",".",".",".",".",".","90.9","4.5",".",".","4.5",".",".",".","."
