"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"990","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","29","",".",".",".",".",".",".",".","79.3",".",".",".","17.2","3.4",".",".","."
"999","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Work-Ag & Appl Economics","Course Total","","4","***","","","","","","","","","","","","","","","",""
