"GEOGRAPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.714","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"766
Geog Inquiry&Anal:Technique","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Independent Reading","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar in Geography","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"918
Smr-Political Geography","001","","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"970
Seminar in Geographic Info Sci","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"982
Smr-Latin American Area","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","36","",".",".",".",".",".",".",".","80.6",".",".",".","19.4",".",".",".","."
