"HEBREW (HEBREW AND SEMITI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","",""
"","102
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","17","3.529","76.5",".","11.8",".",".","11.8",".",".",".",".",".",".",".",".",".","."
"","102
003","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hebrew","Course Total","","39","3.756","82.1","7.7","5.1",".",".","5.1",".",".",".",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, II","104
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hebrew","202
001","","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","302
001","","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Biblical Hebrew, II","324
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328
001","","8","3.286","12.5","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5","."
"Prophets of the Bible","332
001","","24","3.542","58.3","20.8","4.2","4.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","10","3.350","30.0","40.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","371
004","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","Course Total","","52","3.775","71.2","17.3","3.8","3.8","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Jewish Cultural History","377
001","","18","3.733","38.9","44.4",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","402
001","","15","3.600","53.3","13.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-telling in the Bible","417
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts, Poetry","514
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","534
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syriac II","606
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Wisdom Literature: Job","654
001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","799
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Biblical Poetry","958
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","8","",".",".",".",".",".",".",".","25.0",".",".",".","50.0",".",".","25.0","."
"","990
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".",".","33.3",".",".",".","44.4",".",".","22.2","."
