"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","31","3.565","48.4","22.6","25.8",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"233
Herbaceous Ornamntl Plnt II","001","","14","3.500","28.6","35.7","14.3","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"326
Plant Nutrition Management","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"345
Fruit Crop Production","001","","25","3.500","36.0","36.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"372
Colloquium-Organic Agriculture","001","","23","3.500","43.5","8.7","43.5",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"375","002","","12","2.958",".","41.7","33.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"375","003","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","28","3.240","46.4","25.0","17.9",".","10.7",".",".",".",".",".",".",".",".",".",".","."
"399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"500
Molecular Biology Techniques","001","","15","3.200","33.3","13.3","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","17","2.967","23.5","5.9","35.3","11.8","5.9",".","5.9","5.9","5.9",".",".",".",".",".",".","."
"555
Plant Genomics&Bioinformatics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","21","3.452","28.6","42.9","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","32","",".",".",".",".",".",".",".","84.4",".",".",".","15.6",".",".",".","."
