"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"910","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","5","***","","","","","","","","","","","","","","","",""
"914","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"914","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"914","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"914","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Therapeutics I-Chronic Disease","Course Total","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915","005","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Therapeutics II-Acute Diseases","Course Total","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"916","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Palliative Care (CSC)","Course Total","","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"918
Hlth Informatics-Med Students","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","10","3.815","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","042","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","043","","21","3.571","42.9","38.1","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"920","044","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","Course Total","","66","3.673","47.0","43.9","7.6",".","1.5",".",".",".",".",".",".",".",".",".",".","."
