"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"656
Design Portfolio & Prof Pract","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","56","3.873","87.5","7.1","3.6",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"718
Art Performance","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"726
Grad Intaglio Printmaking I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"826
Grad Intaglio Printmakng II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"908","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"908","002","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"908","003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Art","Course Total","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"914","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Sculpture","Course Total","","4","***","","","","","","","","","","","","","","","",""
"922","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"922","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"922","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Painting","Course Total","","24","3.971","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Advanced Research-Ceramics","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"944","008","","7","3.958","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"944","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Research-Art Metal","Course Total","","8","3.964","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","011","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"996","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
