"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","138
004","","15","3.682","40.0","20.0","13.3",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"Golf I","Course Total","","63","3.702","36.5","20.6","9.5",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","140
002","","22","3.853","63.6","4.5","9.1",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"","140
003","","19","3.818","36.8","21.1",".",".",".",".",".","42.1",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","41","3.839","51.2","12.2","4.9",".",".",".",".","31.7",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","","14","3.792","57.1","21.4","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","21","3.778","52.4","28.6","4.8",".",".",".",".","4.8",".",".",".",".","4.8",".",".","4.8"
"Badminton I","155
001","","21","3.583","33.3","33.3","19.0",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Topics in Fencing","157
001","","18","3.571","33.3","22.2","22.2",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","162
001","","17","3.950","52.9","5.9",".",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"","162
002","","19","3.111","5.3","5.3","31.6","5.3",".",".",".","52.6",".",".",".",".",".",".",".","."
"","162
003","","16","3.364","6.3","37.5","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","6.3"
"Tennis I","Course Total","","52","3.483","21.2","15.4","19.2","1.9",".",".",".","40.4",".",".",".",".",".",".",".","1.9"
"","163
001","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","163
002","","22","3.947","77.3","9.1",".",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","41","3.921","78.0","14.6",".",".",".",".",".","7.3",".",".",".",".",".",".",".","."
"Basketball I","170
001","","25","3.630","56.0","20.0","8.0",".","8.0",".",".","8.0",".",".",".",".",".",".",".","."
"","175
001","","25","3.262","20.0","36.0","20.0",".","4.0",".","4.0","16.0",".",".",".",".",".",".",".","."
"","175
002","","30","3.875","60.0","20.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","175
003","","30","3.660","43.3","36.7",".",".",".","3.3",".","16.7",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","85","3.614","42.4","30.6","5.9",".","1.2","1.2","1.2","17.6",".",".",".",".",".",".",".","."
"Team Handball I","177
001","","18","3.444","66.7","11.1","5.6",".","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","201
001","","15","4.000","73.3",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","6.7"
"","201
002","","20","3.933","65.0","10.0",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","35","3.962","68.6","5.7",".",".",".",".",".","22.9",".",".",".",".",".",".",".","2.9"
"","211
001","","22","3.833","77.3","13.6",".",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","211
002","","17","3.750","88.2",".",".",".",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","39","3.797","82.1","7.7",".",".","2.6",".","2.6","5.1",".",".",".",".",".",".",".","."
"Marathon/Distance Training","231
001","","37","3.521","24.3","18.9","21.6",".",".",".",".","29.7",".",".",".",".","2.7","2.7",".","."
"Golf II","238
001","","15","3.700","33.3","26.7","6.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","262
001","","19","3.542","36.8",".","21.1","5.3",".",".",".","36.8",".",".",".",".",".",".",".","."
"","002
262","","19","3.500","5.3",".","5.3",".",".",".",".","89.5",".",".",".",".",".",".",".","."
"","262
003","","17","3.571","11.8","23.5","5.9",".",".",".",".","58.8",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","55","3.548","18.2","7.3","10.9","1.8",".",".",".","61.8",".",".",".",".",".",".",".","."
"Basketball II","270
001","","28","3.563","32.1","35.7","14.3","3.6",".",".",".","14.3",".",".",".",".",".",".",".","."
"","275
001","","32","3.950","87.5","3.1","3.1",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","275
002","","37","3.939","78.4","10.8",".",".",".",".",".","10.8",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","69","3.944","82.6","7.2","1.4",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","25","3.705","52.0","24.0","8.0","4.0",".",".",".","12.0",".",".",".",".",".",".",".","."
"Bicycling","295
001","","16","3.964","81.3","6.3",".",".",".",".",".","6.3",".",".",".",".",".","6.3",".","."
"","300
001","","23","3.775","60.9","21.7",".",".","4.3",".",".","13.0",".",".",".",".",".",".",".","."
"","300
002","","26","3.952","73.1","7.7",".",".",".",".",".","19.2",".",".",".",".",".",".",".","."
"","300
003","","19","4.000","94.7",".",".",".",".",".",".",".","5.3",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 95 of 413"
