"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
003","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
001","20","3.500","40.0","30.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
002","20","3.650","65.0","30.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
003","20","3.525","55.0","35.0",".",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","155
004","20","3.079","20.0","25.0","20.0","10.0","20.0",".",".",".","5.0",".",".",".",".",".",".","."
"","155
005","20","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","19","3.395","42.1","10.5","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","18","3.206","44.4","22.2","5.6","5.6",".","16.7",".",".",".",".",".",".","5.6",".",".","."
"","155
008","20","3.300","20.0","50.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
009","20","3.375","30.0","30.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
010","19","3.553","31.6","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","20","3.425","40.0","35.0","15.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","155
012","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
013","20","3.500","35.0","45.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","254","3.438","38.2","34.3","17.3","3.1","3.5","1.6","1.2",".","0.4",".",".",".","0.4",".",".","."
"Freshman Independent Study","199
020","83","3.000",".",".","1.2",".",".",".",".","98.8",".",".",".",".",".",".",".","."
"Teams & Engr Profession","265
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","20","3.474","40.0","30.0","15.0",".","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","275
002","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","19","3.395","21.1","47.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
005","18","3.722","61.1","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","19","2.974","10.5","21.1","42.1","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","275
007","19","3.447","26.3","47.4","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","128","3.504","41.4","31.3","17.2","6.3","2.3","0.8",".","0.8",".",".",".",".",".",".",".","."
"","330
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","4","***","","","","","","","","","","","","","","","",""
"","374
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","003
374","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","14","",".",".",".",".",".",".",".",".",".","92.9",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","21","3.452","23.8","42.9","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","22","3.477","36.4","31.8","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","23","3.478","21.7","52.2","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","19","3.368","15.8","47.4","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","21","3.381","28.6","33.3","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
006","17","3.500","41.2","35.3","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","397
007","21","3.762","57.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","20","3.400",".","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","21","3.452","9.5","76.2","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","19","3.526","36.8","36.8","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","19","3.237","15.8","26.3","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","21","2.786","4.8","19.0","42.9","23.8",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","Page 122 of 402",""
