"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","699","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Applied Math 1","703","001","","11","3.273","45.5","18.2","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Mathematical Fluid Dynamics","705","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","19","3.639","52.6","15.8","26.3",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"First Crse in Real Analysis","721","001","","18","3.938","83.3",".","5.6",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Stochastic Analysis","735","001","","22","3.825","68.2","13.6","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Abstract Algebra","741","001","","8","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Topics in Ring Theory","746","001","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Number Theory","748","001","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","14","3.269","35.7","21.4","21.4",".","7.1","7.1",".",".",".",".",".",".",".","7.1",".","."
"Algebraic Topology I","753","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differentiable Manifolds","761","001","","8","3.313","62.5","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Foundations of Mathematics","770","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Computability Theory","773","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Functions","805","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Partial Differential Equatn","819","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Complex Analysis","823","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourier Analysis","827","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability","831","001","","18","3.813","61.1","22.2","5.6",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Topics-Differentl Topology","856","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Algebraic Geom","863","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Geometry","865","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Foundations","873","001","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","941","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","941","005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Algebra","","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","95","003","","8","3.375","50.0",".","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","95","004","","9","3.000","22.2","22.2",".","22.2","22.2",".",".",".",".",".",".",".","11.1",".",".","."
"Fundamental Math Skills","","Course Total","","17","3.188","35.3","11.8","11.8","23.5","11.8",".",".",".",".",".",".",".","5.9",".",".","."
"Seminar in Topology","951","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
