"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","411
003","24","3.313","25.0","29.2","29.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","411
004","27","3.370","29.6","22.2","40.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","411
005","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
411","22","3.273","45.5","4.5","27.3","4.5","18.2",".",".",".",".",".",".",".",".",".",".","."
"","411
007","27","3.852","85.2","7.4","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","411
008","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
009","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
010","22","3.659","45.5","45.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","411
011","24","3.750","83.3","8.3",".",".","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","260","3.654","58.8","21.9","13.1","3.1","2.3","0.4",".",".",".",".",".",".","0.4",".",".","."
"","413
001","177","3.142","23.7","12.4","45.8","4.0","10.2","1.1","0.6","1.1",".",".",".",".",".",".","1.1","."
"","413
002","16","3.781","75.0","6.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language, Mind, and Brain","Course Total","193","3.196","28.0","11.9","43.5","3.6","9.3","1.0","0.5","1.0",".",".",".",".",".",".","1.0","."
"Animal Behavior","449
001","97","2.758","16.5","8.2","24.7","15.5","33.0","2.1",".",".",".",".",".",".",".",".",".","."
"Honors-Language, Mind, & Brain","483
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abnormal Psychology","509
001","293","2.510","15.4","8.2","19.1","16.0","24.2","11.6","4.1","0.7","0.3",".",".",".",".",".","0.3","."
"Behavior Pathology:Neuroses","511
001","183","3.392","42.6","21.9","16.9","9.8","6.0","1.1","0.5","1.1",".",".",".",".",".",".",".","."
"Psychology of Women","522
001","37","3.333","21.6","32.4","35.1","5.4","2.7",".",".","2.7",".",".",".",".",".",".",".","."
"Neurobiology","523
001","37","3.375","32.4","24.3","27.0","10.8","2.7",".",".",".",".",".",".",".","2.7",".",".","."
"","530
001","18","3.667","72.2","5.6","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","530
002","66","3.269","27.3","27.3","27.3","7.6","7.6","1.5",".",".",".",".",".",".","1.5",".",".","."
"","530
003","109","3.046","27.5","14.7","28.4","5.5","18.3","4.6",".","0.9",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","193","3.190","31.6","18.1","26.4","6.2","13.5","3.1",".","0.5",".",".",".",".","0.5",".",".","."
"Hormones and Behavior","556
001","20","3.789","60.0","30.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Child Psychology","560
001","182","2.945","12.1","23.1","32.4","14.3","14.3","2.2","1.1",".",".",".",".",".","0.5",".",".","."
"Adult Developmnt & Aging","564
001","72","2.950","8.3","15.3","50.0","13.9","6.9","1.4","1.4",".",".",".",".",".","1.4",".","1.4","."
"Honors Seminar-Social Psych","585
001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal-Psych Experiments","610
001","28","3.704","57.1","25.0","10.7","3.6",".",".",".",".",".",".",".",".",".","3.6",".","."
"Research Topics","618
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","619
001","15","3.192","33.3","6.7","26.7","13.3",".","6.7",".","13.3",".",".",".",".",".",".",".","."
"","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","Page 286 of 402",""
