"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"201
Land Surveying Fundamentals","001","","38","2.934","23.7","18.4","26.3","10.5","10.5","7.9","2.6",".",".",".",".",".",".",".",".","."
"249
Engr Principles-Biol Systms","001","","41","3.134","36.6","9.8","19.5","22.0","7.3","4.9",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"351
Struct Design-Ag Facilities","001","","7","3.000",".","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"364
Engr Prop-Food & Biol Matls","001","","28","3.107","17.9","17.9","42.9","10.7","10.7",".",".",".",".",".",".",".",".",".",".","."
"367
Renewable Energy Systems","001","","33","3.419","51.5","24.2","6.1",".","3.0","6.1","3.0","3.0",".",".",".",".","3.0",".",".","."
"372
On-Site Waste Water Treatment","001","","24","2.771","25.0","16.7","12.5","12.5","20.8","8.3","4.2",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"409
Career Management-Engineers","001","","37","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","13","2.808","23.1",".","23.1","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"491
Legal Aspects-Engineering","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"509
Biol Sys Engr Senior Design","001","","25","3.667","28.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".","52.0",".",".","."
"517
Biology in Engineering Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","29","",".",".",".",".",".",".",".","34.5",".",".",".","65.5",".",".",".","."
