"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","36","3.861","94.4",".","2.8",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"210
HIV: Sex, Society and Science","001","","44","3.068","31.8","13.6","29.5","9.1","9.1","2.3","4.5",".",".",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"510
Veterinary Immunology","001","","72","3.354","16.7","45.8","30.6","5.6","1.4",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","72","3.569","50.0","20.8","22.2","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","72","3.444","30.6","38.9","20.8","8.3","1.4",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","14","3.769","71.4",".","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"559
Veterinary General Path","001","","72","3.576","43.1","31.9","22.2","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","001","","72","3.729","59.7","27.8","11.1","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","30","4.000","93.3",".",".",".",".",".",".","3.3",".",".",".",".",".",".","3.3","."
"675","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","002","","72","4.000","31.9",".",".",".",".",".",".","68.1",".",".",".",".",".",".",".","."
"675","003","","72","3.660","50.0","31.9","18.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","160","3.685","36.9","14.4","8.1",".",".",".",".","40.6",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.957","69.2","7.7",".",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"775","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","011","","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","12","3.773","66.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","8.3","."
"990","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 396 of 402",""
