"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","171","3.136","32.7","19.3","20.5","9.4","8.2","4.7","2.3","2.3",".",".",".",".","0.6",".",".","."
"363
Develp: Adolescence-Old Age","001","","182","3.394","40.1","22.5","20.3","11.5","3.3",".","1.1","0.5",".",".",".",".",".","0.5",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","29","3.828","82.8","3.4","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"464
Play-Devlpmt & Role-Lifespan","001","","30","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","30","3.517","46.7","30.0","13.3","6.7",".","3.3",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","31","3.597","41.9","38.7","16.1","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"474
Racial Ethnic Families in U.S.","001","","31","3.532","54.8","22.6","9.7",".","12.9",".",".",".",".",".",".",".",".",".",".","."
"501","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","15","3.567","53.3","33.3",".",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"501","003","","20","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"501","008","","22","3.864","86.4","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"501","011","","9","3.500","77.8",".",".",".",".",".","11.1",".",".",".",".",".","11.1",".",".","."
"501","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"501","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","83","3.698","75.9","10.8","3.6","1.2","4.8",".","1.2",".",".",".",".",".","2.4",".",".","."
"516
Family Stress and Coping","001","","29","3.690","69.0","20.7","6.9",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"517
Couple Relationships","001","","30","3.161","13.3","36.7","20.0","13.3","10.0",".",".","3.3",".",".",".",".","3.3",".",".","."
"535
Family Perspctv-Policymakng","001","","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","27","3.948","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","33","3.957","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Adv Study of Young Child","001","","14","3.846","64.3","28.6",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","31","3.565","54.8","16.1","19.4","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"699","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.959","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","23","3.908","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Educ Role-Fam-Early Child Dev","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
