"L&S","","","","","","","","","","","","","","","","","","","",""
"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","",""
"","300
001","","26","3.640","57.7","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".","3.8",".","."
"","300
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","Course Total","","32","3.667","65.6","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".","3.1",".","."
"Social Studies Topics in EAS","301
002","","50","3.977","92.0","4.0",".",".",".",".",".","2.0",".",".",".",".","2.0",".",".","."
"Senior Thesis","691
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"E A STDS
298","Dept. Total","","86","3.856","80.2","8.1","4.7","2.3",".",".",".","1.2",".",".",".","1.2","1.2","1.2",".","."
