"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"299","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","25","3.971","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Forest Biometry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"306
Terr Vertbrt:Life Hist&Ecol","001","","51","2.931","11.8","21.6","39.2","11.8","7.8","7.8",".",".",".",".",".",".",".",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","37","2.865","13.5","8.1","37.8","18.9","21.6",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","22","3.325","27.3","31.8","13.6","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","65","3.262","32.3","24.6","29.2",".","10.8","1.5","1.5",".",".",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"404
Wildlife Damage Management","001","","19","3.237","10.5","26.3","63.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"410
Principles of Silviculture","001","","30","3.377","33.3","26.7","20.0","6.7","10.0",".",".","3.3",".",".",".",".",".",".",".","."
"452
World Forest History","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"460
General Ecology","001","","8","3.500","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"501
Forest Fire Behavior & Mgmt","001","","27","3.370","40.7","22.2","14.8","14.8","7.4",".",".",".",".",".",".",".",".",".",".","."
"565
Principles-Landscape Ecology","001","","14","3.583","42.9","21.4","14.3","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","17","3.469","29.4","29.4","35.3",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"599
Wildlife Research Capstone","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Conservation Biology","001","","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","36","3.243","19.4","38.9","19.4","8.3","11.1",".",".","2.8",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicm-Forestry&Wl Ecol Tchg","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Colloq-Forestry&Forest Prod","001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"980
Earth System Sci Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
