"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Mathematical Models-Social Sys","376
001","20","3.200","20.0","20.0","25.0",".","5.0","5.0",".","20.0",".",".",".",".","5.0",".",".","."
"Criminology","441
001","95","3.027","22.1","20.0","26.3","12.6","12.6","5.3",".","1.1",".",".",".",".",".",".",".","."
"","475
002","33","3.091","27.3","27.3","15.2","15.2","9.1","3.0","3.0",".",".",".",".",".",".",".",".","."
"","475
003","42","2.940","7.1","28.6","38.1","7.1","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"","475
004","39","2.921","25.6","15.4","12.8","20.5","17.9","2.6","2.6",".",".",".",".",".",".","2.6",".","."
"Classical Soc Theory","Course Total","114","2.978","19.3","23.7","22.8","14.0","14.0","3.5","1.8",".",".",".",".",".",".","0.9",".","."
"","496
001","48","3.628","60.4","20.8","12.5","4.2",".","2.1",".",".",".",".",".",".",".",".",".","."
"","496
003","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
004","19","3.737","73.7","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","496
005","28","3.286","32.1","21.4","28.6","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"","496
006","18","3.556","55.6","16.7","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","130","3.593","58.5","17.7","15.4","3.8","3.8","0.8",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","530
001","36","2.833","19.4","11.1","25.0","16.7","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"Sociology of Medicine","531
001","16","3.602","43.8","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Hlth-Rural & Urban Comm","533
001","19","3.316","26.3","36.8","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540
001","10","3.500","50.0","30.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575
001","31","3.629","41.9","41.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Critical Sociol","622
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Structure of India","634
001","19","3.722","47.4","42.1","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","643
001","21","3.262","42.9","23.8","14.3",".","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"","643
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Occupations&Professions","Course Total","22","3.295","45.5","22.7","13.6",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Sociology of Persecution","678
001","25","3.409","52.0","16.0","16.0","8.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Analysis & Research","693
001","12","3.773","66.7","16.7",".","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","698
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
094","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","174","3.990","93.7","1.7",".",".",".",".",".",".",".",".",".",".","4.6",".",".","."
"","699
026","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
049","2","***","","","","","","","","","",".",".",".",".",".",".","."
