"COLLABORATIVE NURSING PRG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","",""
"Narrative Anal-Nursing Prac","306
001","14","3.385","42.9","28.6","14.3",".",".",".","7.1",".",".",".",".",".","7.1",".",".","."
"Health Assessment","317
003","16","3.533","56.3","25.0","6.3",".",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"Theoretical Foundations","341
003","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434
003","18","3.529","44.4","44.4",".",".",".",".","5.6",".",".",".",".",".","5.6",".",".","."
"Mgmt & Leadershp in Nursing","437
003","13","3.600","69.2",".",".",".",".",".","7.7",".",".",".",".",".","23.1",".",".","."
"Community Health Nursing","444
003","10","2.063",".","30.0","20.0",".",".",".","30.0",".",".",".",".",".","10.0",".","10.0","."
"","490
020","9","3.380","33.3","33.3","11.1",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"","490
022","11","3.409","72.7",".","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","490
026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","24","3.328","50.0","20.8","8.3","4.2","4.2",".","8.3",".",".",".",".",".","4.2",".",".","."
"Capstone Practicum for RN's","519
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"CNP
691","Dept. Total","109","3.408","48.6","23.9","8.3","0.9","1.8",".","8.3",".",".",".",".",".","7.3",".","0.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","",""
"Junior","","20","3.404","35.0","20.0","5.0",".","5.0",".","5.0",".",".",".",".",".","25.0",".","5.0","."
"Senior","","89","3.408","51.7","24.7","9.0","1.1","1.1",".","9.0",".",".",".",".",".","3.4",".",".","."
"Undergraduates","","109","3.408","48.6","23.9","8.3","0.9","1.8",".","8.3",".",".",".",".",".","7.3",".","0.9","."
"","Dept. Total","109","3.408","48.6","23.9","8.3","0.9","1.8",".","8.3",".",".",".",".",".","7.3",".","0.9","."
