"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","",""
"Surgery Fundamentals","544
001","73","3.582","52.1","17.8","26.0","2.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology I","545
001","73","3.411","28.8","30.1","37.0","2.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology II","546
001","77","3.273","26.0","20.8","41.6","5.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631
001","77","2.818","15.6","9.1","31.2","16.9","24.7","2.6",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","76","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634
001","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Radiology","638
001","77","3.279","14.3","39.0","39.0","6.5",".","1.3",".",".",".",".",".",".",".",".",".","."
"","642
001","41","4.000","22.0",".",".",".",".",".",".","78.0",".",".",".",".",".",".",".","."
"","642
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","43","4.000","25.6",".",".",".",".",".",".","74.4",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644
001","29","4.000","27.6",".",".",".",".",".",".","72.4",".",".",".",".",".",".",".","."
"","645
001","54","4.000","48.1",".",".",".",".",".",".","50.0",".",".",".",".",".",".","1.9","."
"","645
002","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","60","4.000","50.0",".",".",".",".",".",".","48.3",".",".",".",".",".",".","1.7","."
"Veterinary Anesthesiology","646
001","33","4.000","51.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".","3.0","."
"Radiology Clinics","647
001","26","4.000","7.7",".",".",".",".",".",".","92.3",".",".",".",".",".",".",".","."
"","675
001","18","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"","675
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
004","44","4.000","29.5",".",".",".",".",".",".","70.5",".",".",".",".",".",".",".","."
"","675
010","42","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","105","4.000","16.2",".",".",".",".",".",".","83.8",".",".",".",".",".",".",".","."
"Special Species Health","676
001","77","3.825","70.1","24.7","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677
001","38","4.000","68.4",".",".",".",".",".",".","31.6",".",".",".",".",".",".",".","."
"","699
003","10","",".",".",".",".",".",".",".","90.0",".",".",".",".",".",".","10.0","."
"","699
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","21","4.000","52.4",".",".",".",".",".",".","42.9",".",".",".",".",".",".","4.8","."
"Clinical Ophthalm Rotation","741
001","36","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743
001","17","4.000","82.4",".",".",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Surgery","746
001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","748
001","24","4.000","70.8",".",".",".",".",".",".","29.2",".",".",".",".",".",".",".","."
"","748
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","Course Total","25","4.000","72.0",".",".",".",".",".",".","28.0",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750
001","24","4.000","95.8",".",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","775
001","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","Page 400 of 403",""
