"REAL ESTATE & URBAN LAND E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","","144","3.291","28.5","27.1","27.1","7.6","5.6","2.1",".","0.7",".",".",".",".","1.4",".",".","."
"Real Estate Law","312
001","","38","3.284","23.7","21.1","44.7","2.6","5.3",".",".","2.6",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","","17","3.324","23.5","35.3","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","410
002","","20","3.325","20.0","25.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","","37","3.324","21.6","29.7","40.5","8.1",".",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","001
415","","31","3.300","29.0","16.1","38.7","9.7","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","","32","3.188","21.9","15.6","40.6","21.9",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","","52","3.500","26.9","48.1","23.1","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","","17","3.688","47.1","35.3","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"The Real Estate Process","706
001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","","26","3.519","30.8","42.3","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","Course Total","","25","3.580","36.0","44.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","","29","3.536","27.6","48.3","20.7",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","765
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","","23","3.674","52.2","30.4","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","72","3.750","72.2","18.1","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem-Urban Land Econ PhD","977
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
142","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng&Rsch-Real Estate PhD","999
142","","2","***","","","","","","","","","",".",".",".",".",".",".","."
