"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"234
Prin&Prac-Nuclr Reactr Oper","001","","15","2.933","13.3","13.3","40.0","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"271","001","","35","3.429","57.1","2.9","25.7","8.6","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"271","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Problem Solving I","Course Total","","39","3.436","56.4","2.6","28.2","7.7","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"305
Fundamentals-Nuclear Engr","001","","51","2.950","19.6","17.6","27.5","11.8","15.7","5.9",".","2.0",".",".",".",".",".",".",".","."
"406
Nuclear Reactor Analysis","001","","20","3.350",".","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","40","3.163","22.5","15.0","45.0","7.5","10.0",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","19","3.158","15.8","26.3","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".","."
"428
Nuclear Reactor Laboratory","001","","7","3.143","28.6","28.6","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","18","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"541
Radiation Damage in Metals","001","","27","3.222","22.2","29.6","22.2","22.2","3.7",".",".",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","49","3.479","32.7","36.7","20.4","8.2",".",".",".","2.0",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","21","3.167","19.0","23.8","38.1","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"724
Waves&Instabilities-Plasmas","001","","7","3.429","57.1",".","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","10","",".",".",".",".",".",".",".","70.0",".",".",".","30.0",".",".",".","."
"890","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","41","",".",".",".",".",".",".",".","73.2",".",".",".","26.8",".",".",".","."
"922
Seminar in Plasma Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 140 of 410",""
