"LINGUISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"101
Human Language","001","","193","3.164","27.5","25.4","21.2","13.5","8.8","1.0","2.1","0.5",".",".",".",".",".",".",".","."
"236
Bascom Course","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"301
Intro Ling-Descript&Theoret","001","","49","3.327","40.8","20.4","22.4","8.2","2.0","6.1",".",".",".",".",".",".",".",".",".","."
"310
Phonology","001","","31","3.306","38.7","25.8","19.4","3.2","6.5","6.5",".",".",".",".",".",".",".",".",".","."
"330
Syntax","001","","27","3.442","33.3","25.9","33.3",".","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"371
Survey-N Amer Indian Languages","001","","17","3.844","70.6","17.6","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"426
Field Methods I","001","","12","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"481","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"481","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"481","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"481","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"481","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","Course Total","","5","***","","","","","","","","","","","","","","","",""
"522
Advanced Morphology","001","","17","3.600","52.9","11.8","11.8","11.8",".",".",".",".",".",".",".",".","11.8",".",".","."
"540
Advanced Semantics","001","","12","3.500","58.3","8.3","16.7",".",".","8.3",".","8.3",".",".",".",".",".",".",".","."
"583
Senior Honors Tutorial","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"800
Research Methods&Materials","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"977
Seminar","001","","10","3.929","60.0","10.0",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999
Independent Reading","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
