"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"770
Russian Poetry 1837-1890","001","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"820
College Teaching of Russian","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Smr-Pre-Soviet 20C Lit","001","","9","4.000","77.8",".",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"991","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","","16","",".",".",".",".",".",".",".","68.8",".",".",".","31.3",".",".",".","."
