"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"100","001","","20","3.800","75.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","002","","19","3.553","47.4","26.3","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","003","","19","3.684","78.9","10.5",".",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"100","004","","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","005","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","97","3.737","70.1","15.5","11.3",".","2.1","1.0",".",".",".",".",".",".",".",".",".","."
"111
Sci&Technology Newswriting","001","","18","3.583","38.9","44.4","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"212","001","","19","3.895","89.5",".","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"212","002","","16","3.531","75.0","6.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","","35","3.729","82.9","2.9","8.6",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"270
Comm in Life Sci Industries","001","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"314
Intro to Digital Video Prod","001","","15","3.636","40.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".","26.7",".",".","."
"332
Print&Electronic Media Dsgn","001","","21","3.750","57.1","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"350
Visualizing Sci & Technology","001","","18","3.694","66.7","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"360
Information Radio","001","","17","3.781","52.9","41.2",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"375
Special Topics","003","","16","3.702","50.0","31.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","012","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
Advertising in Life Sciences","001","","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"435
Integrated Marktng Communicatn","001","","19","3.684","57.9","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Contemp Comm Tech&Soc Effct","001","","40","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Pub Info Campaigns & Progms","001","","11","3.800","63.6","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"625
Risk Communication","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Case Studies-Com of Sci & Tech","001","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"901
Colloquium:Mass Communicatn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902
Public Opinion-Life Sci Issues","001","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","","Page 5 of 410"
