"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","122","3.824","74.6","18.0","4.9","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","25","4.000","96.0",".",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","301
004","30","3.800","83.3","13.3",".",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","205","3.860","81.0","13.7","2.9","1.5",".",".","0.5","0.5",".",".",".",".",".",".",".","."
"","320
001","109","3.170","23.9","32.1","22.0","6.4","8.3","1.8","2.8","0.9",".",".",".",".","1.8",".",".","."
"","320
002","104","3.382","31.7","31.7","20.2","10.6","2.9","1.0",".","1.0",".",".",".",".","1.0",".",".","."
"Human Dev-Infancy&Childhood","Course Total","213","3.274","27.7","31.9","21.1","8.5","5.6","1.4","1.4","0.9",".",".",".",".","1.4",".",".","."
"Human Develop-Adolescence","321
001","101","3.470","40.6","29.7","17.8","5.9","4.0","1.0",".","1.0",".",".",".",".",".",".",".","."
"","506
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
001","31","3.806","64.5","32.3","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
521","30","3.750","66.7","20.0","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","Course Total","61","3.779","65.6","26.2","6.6","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","33","3.906","81.8","12.1","3.0",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"","711
006","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
009","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
010","17","3.471","41.2","23.5","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","711
011","7","3.800","42.9","28.6",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"","711
012","9","3.714","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Current Topics-Ed Psych","Course Total","93","3.829","73.1","12.9","7.5",".","1.1",".",".",".",".",".",".",".","5.4",".",".","."
"Intro to Qualitative Research","719
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","49","3.904","79.6","14.3","2.0",".",".",".",".","4.1",".",".",".",".",".",".",".","."
"","760
002","33","3.871","78.8","6.1","9.1",".",".",".",".","6.1",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","82","3.891","79.3","11.0","4.9",".",".",".",".","4.9",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","31","3.823","74.2","16.1","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Test Construction","771
001","23","3.842","56.5","26.1",".",".",".",".",".","8.7",".",".",".",".","8.7",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","795
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","795
002","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
