"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","311","2.823","15.1","19.0","18.6","22.2","19.9","4.2","1.0",".",".",".",".",".",".",".",".","."
"","101
002","318","2.820","15.7","17.0","20.1","21.4","20.4","3.1","1.6","0.6",".",".",".",".",".",".",".","."
"","003
101","304","3.241","23.4","31.9","25.7","9.2","7.2","1.3","0.3","0.7",".",".",".",".","0.3",".",".","."
"","004
101","245","3.436","38.0","31.4","18.0","7.3","3.3","1.6",".",".",".",".",".",".","0.4",".",".","."
"Principles-Microeconomics","Course Total","1178","3.057","22.2","24.4","20.7","15.5","13.3","2.6","0.8","0.3",".",".",".",".","0.2",".",".","."
"","102
001","233","2.768","7.3","17.2","28.8","26.2","13.7","6.0",".","0.9",".",".",".",".",".",".",".","."
"","102
002","195","2.807","14.4","19.5","19.5","20.0","20.0","5.1","1.0",".",".",".",".",".","0.5",".",".","."
"","102
003","156","2.817","17.3","17.3","19.9","19.2","19.2","5.8","1.3",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","584","2.794","12.3","18.0","23.3","22.3","17.3","5.7","0.7","0.3",".",".",".",".","0.2",".",".","."
"Prin/Econ-Accelratd Treatmt","111
001","35","3.485","37.1","25.7","28.6","5.7",".",".",".","2.9",".",".",".",".",".",".",".","."
"Internship Economics","228
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","18","2.694","16.7","16.7","22.2","11.1","22.2","5.6","5.6",".",".",".",".",".",".",".",".","."
"","300
002","18","2.944","16.7","16.7","33.3","5.6","27.8",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","36","2.819","16.7","16.7","27.8","8.3","25.0","2.8","2.8",".",".",".",".",".",".",".",".","."
"","301
001","177","2.955","26.0","11.3","22.0","19.2","16.9","4.0","0.6",".",".",".",".",".",".",".",".","."
"","301
002","174","2.871","17.8","15.5","23.6","20.7","18.4","2.3","1.7",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","351","2.913","21.9","13.4","22.8","19.9","17.7","3.1","1.1",".",".",".",".",".",".",".",".","."
"","302
001","110","2.586","17.3","10.9","22.7","10.0","24.5","9.1","5.5",".",".",".",".",".",".",".",".","."
"","302
002","149","2.795","16.1","20.1","20.1","18.1","14.8","9.4","1.3",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","259","2.707","16.6","16.2","21.2","14.7","18.9","9.3","3.1",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","80","2.756","10.0","13.8","36.3","20.0","11.3","6.3","2.5",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","310
001","186","2.968","19.9","19.4","24.2","17.2","14.5","3.2","1.1","0.5",".",".",".",".",".",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","24","3.542","41.7","41.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","320
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Money and Banking","330
001","182","2.834","9.9","18.7","23.6","30.8","13.2","2.7","0.5","0.5",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","97","2.972","19.6","22.7","23.7","15.5","13.4","3.1","2.1",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390
014","23","3.087","30.4","21.7","13.0","13.0","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"","410
001","49","3.031","22.4","22.4","22.4","16.3","8.2","4.1","2.0",".",".",".",".",".","2.0",".",".","."
"","410
002","69","2.904","20.3","20.3","18.8","18.8","13.0","4.3","2.9","1.4",".",".",".",".",".",".",".","."
"Introductory Econometrics","Course Total","118","2.957","21.2","21.2","20.3","17.8","11.0","4.2","2.5","0.8",".",".",".",".","0.8",".",".","."
"Urban & Regional Economics","420
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Economic Decision Analysis","421
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resources-Econ Growth","448
001","88","2.938","18.2","12.5","34.1","20.5","11.4","1.1","2.3",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","116","2.996","17.2","23.3","25.9","20.7","8.6","2.6","1.7",".",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458
001","35","3.543","31.4","51.4","11.4","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462
001","24","3.065","29.2","25.0","16.7","12.5","4.2",".","8.3",".",".",".",".",".","4.2",".",".","."
"Internatl Trade & Finance","464
001","109","3.151","33.9","19.3","15.6","12.8","15.6","1.8","0.9",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468
001","17","3.206","29.4","29.4","17.6","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474
001","41","2.963","24.4","22.0","12.2","19.5","17.1","2.4","2.4",".",".",".",".",".",".",".",".","."
"Economics of Growth","475
001","18","3.194","38.9","11.1","27.8","16.7",".",".","5.6",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521
001","57","3.250","26.3","19.3","35.1","12.3","5.3",".",".",".",".",".",".",".","1.8",".",".","."
"Law and Economics","522
001","122","3.094","23.8","16.4","31.1","13.9","13.9","0.8",".",".",".",".",".",".",".",".",".","."
