"JEWISH STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","",""
"Bascom Course","236","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Food in Rabbinic Judasim","278","001","","28","3.222",".","53.6","35.7","3.6","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"Modern Jewish Literature","318","001","","25","3.840","68.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Song & the Jewish Exp","319","001","","50","3.720","74.0","12.0","10.0",".","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","10","3.300","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mod Pol Hist of Jews:1870-1970","374","002","","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Topics in Jewish Studies","490","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
