"TERM : 1124","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar"
"Spring 2011-2012","","","","","","","","","","","","","","","","Institutional Reporting"
"","","","","University of Wisconsin - Madison","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","",""
"REHABILITATION MEDICINE","Section
#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"840
RHAB MED","","","","","","","","","","","","","","","",""
"Independent Study","699
025
1","***","","","","","","","","","",".",".",".",".",".   
.   
."
"Rehabilitatn Med Clerk-CSC","920
004
1","***","","","","","","","","","",".",".",".",".",".   
.   
."
"RHAB MED
840","2
Dept. Total","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","",".  
.  
50.0
."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"840
RHAB MED","","","","","","","","","","","","","","","",""
"Junior","1","",".",".",".",".",".",".",".",".",".",".",".",".","",".  
.  
100.0
."
"Undergraduates","1","",".",".",".",".",".",".",".",".",".",".",".",".","",".  
.  
100.0
."
"Prof Yr 4","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".  
.  
.  
."
"Professionals","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".  
.  
.  
."
"","Dept. Total
2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","",".  
.  
50.0
."
"June 26, 2012","","","","","","","","","","","","","","","","Page 376 of 404"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","",""
"","*** Please note: In order to protect student privacy, grade distributions for classes or class sections with fewer than five students have been redacted.","","","","","","","","","","","","","","",""
