"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","163
001","24","3.978","91.7","4.2",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","163
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","44","3.988","95.5","2.3",".",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Volleyball I","175
002","34","3.955","88.2","8.8",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Team Handball I","177
001","20","3.684","45.0","40.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intermediate Swimming","201
001","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","211
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","17","3.824","94.1",".",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","37","3.919","97.3",".",".",".",".","2.7",".",".",".",".",".",".",".",".",".","."
"Golf II","238
001","16","3.583","18.8","50.0","6.3",".",".",".",".","18.8",".",".",".",".",".","6.3",".","."
"Fencing II","257
001","14","3.308","7.1","50.0","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","262
001","16","3.875","37.5","12.5",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","262
002","13","3.500","7.7","15.4","7.7",".",".",".",".","69.2",".",".",".",".",".",".",".","."
"Tennis II","Course Total","29","3.750","24.1","13.8","3.4",".",".",".",".","58.6",".",".",".",".",".",".",".","."
"Volleyball II","275
001","28","3.981","89.3","3.6",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","277
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","277
002","7","3.167","42.9","28.6",".",".",".",".","14.3","14.3",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","Course Total","11","3.400","45.5","36.4",".",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"Bicycling","295
001","25","3.848","64.0","28.0",".",".",".",".",".",".",".",".",".",".",".","8.0",".","."
"Workshop-Physical Activity","300
001","19","3.688","52.6","21.1","5.3",".","5.3",".",".","15.8",".",".",".",".",".",".",".","."
"Aquatic Conditioning","303
001","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Lifegrdng&Swimmng Supervisn","308
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Martial Arts","318
001","34","3.638","32.4","52.9","5.9",".",".",".",".","5.9",".",".",".",".",".","2.9",".","."
"Triathlon Training","330
001","27","3.833","7.4","3.7",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"Tennis III","362
001","15","3.611","33.3","6.7","20.0",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"PE ACTIV
740","Dept. Total","1250","3.399","47.0","15.3","8.5","4.0","3.7","1.6","1.0","17.8","0.2",".",".",".","0.2","0.6","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Freshmen","","134","2.939","38.8","17.2","14.2","11.2","6.7","6.0","2.2","3.0","0.7",".",".",".",".",".",".","."
"Sophomore","","258","3.367","55.0","14.7","11.2","6.6","6.2","1.2","0.4","4.7",".",".",".",".",".",".",".","."
"Junior","","202","3.419","52.5","19.8","8.4","2.5","5.0","2.5","1.0","7.9",".",".",".",".","0.5",".",".","."
"Senior","","529","3.578","49.9","16.4","6.4","2.5","2.1","0.6","0.8","20.6",".",".",".",".","0.2","0.6",".","."
"Undergraduates","","1123","3.397","50.2","16.7","8.8","4.5","4.1","1.7","0.9","12.6","0.1",".",".",".","0.2","0.3",".","."
"Special","","78","2.857","6.4","2.6","3.8",".",".","1.3","2.6","75.6",".",".",".",".",".","2.6","5.1","."
"Graduate","","45","3.848","40.0","2.2","6.7",".",".",".",".","42.2","2.2",".",".",".","2.2","4.4",".","."
"Prof Yr 3","","4","3.000",".",".","25.0",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"Professionals","","4","3.000",".",".","25.0",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"","Dept. Total","1250","3.399","47.0","15.3","8.5","4.0","3.7","1.6","1.0","17.8","0.2",".",".",".","0.2","0.6","0.3","."
