"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","","156","3.816","78.2","13.5","3.8","1.3","1.9","0.6",".","0.6",".",".",".",".",".",".",".","."
"","450
001","","40","3.963","92.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
002","","27","3.870","77.8","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
003","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Agencies & Their Envir","Course Total","","81","3.920","85.2","13.6","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
451","","14","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundatns of Reference Service","Course Total","","40","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","001
551","","16","3.406","31.3","56.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"History of Books&Print Culture","570
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","616
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","616
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","616
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Records Management","Course Total","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","620
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","18","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Childrens Literature","622
001","","28","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
639","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Literacy Pedagogy","Course Total","","34","3.897","85.3","8.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","644
001","","40","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Government Info Sources","653
001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654
001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","27","3.741","51.9","44.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cyberlaw","663
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","710
001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Res Methods-Libr&Info Study","Course Total","","9","3.688","44.4","33.3","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"College & Univ Libraries","722
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Corporate&Special Info Serv","Course Total","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Archives Adm","734
001","","23","3.705","47.8","39.1","8.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 247 of 403",""
