"RELIGIOUS STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"Late Antiquity (200-900 C.E.)","112","001","","19","3.474","26.3","47.4","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Topics in Relig St (H)","200","001","","20","3.625","75.0","15.0",".",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Judaism","211","001","","18","3.278","22.2","55.6","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","","62","3.369","30.6","30.6","25.8","3.2","8.1",".",".",".",".",".",".",".","1.6",".",".","."
"Lits of Muslim Societies-Trans","257","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Religion-Hist&Cult:The West","271","001","","27","3.040","7.4","33.3","25.9","18.5","3.7","3.7",".","7.4",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","","25","3.460","24.0","68.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","","13","3.011",".","53.8","30.8",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Christian Lit:Matthew-Revelatn","333","001","","54","3.075","25.9","25.9","14.8","14.8","9.3","7.4",".","1.9",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","","26","3.400","23.1","30.8","42.3",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Literatures-Muslim Societies","357","001","","12","3.682","41.7","41.7","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Jainism: Relig of Non-Violence","367","001","","18","3.556","27.8","61.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","","23","3.595","34.8","43.5","8.7","4.3",".",".",".",".",".",".",".",".",".",".","8.7","."
"Islam in Iran","379","001","","12","3.167","33.3","33.3","8.3",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","400","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","","17","3.375","5.9","58.8","29.4",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Topics in Relig St-Humanities","","Course Total","","20","3.211","10.0","50.0","25.0",".","5.0","5.0",".",".",".",".",".",".","5.0",".",".","."
"Survey of Tibetan Buddhism","421","001","","23","3.886","73.9","21.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Classical Rabbinic Texts","448","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","","7","3.125","28.6","14.3",".",".",".","14.3",".",".",".",".",".",".","42.9",".",".","."
"Directed Study","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
