"MED","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","",""
"History of Modern Biology","333
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504
001","","17","3.471","23.5","47.1","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Justice and Health Care","505
001","","23","3.545","39.1","43.5","4.3",".","8.7",".",".",".",".",".",".",".","4.3",".",".","."
"Women & Health-Amer History","531
001","","6","3.200","16.7","33.3","16.7",".","16.7",".",".",".",".",".",".",".","16.7",".",".","."
"Eth & Reg Iss-Clin Investigatn","545
002","","16","3.600","50.0","12.5","31.3",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Medical Tech in Hist Persp","550
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Hlth & Global Society","553
001","","19","3.474","42.1","21.1","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Topics-Ethics & Hist of Med","559
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Int'l Health & Global Society","753
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","001
919","","7","3.875","42.9","14.3",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","999
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","","99","3.508","37.4","30.3","21.2",".","4.0",".",".","4.0",".",".",".",".","2.0",".","1.0","."
