"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","174","2.954","31.6","7.5","27.0","5.2","21.8","3.4","2.9","0.6",".",".",".",".",".",".",".","."
"","300
002","189","3.034","29.1","8.5","36.0","4.8","16.9","3.7","1.1",".",".",".",".",".",".",".",".","."
"","300
010","143","3.035","26.6","14.0","37.1","5.6","8.4","2.1","4.9","0.7","0.7",".",".",".",".",".",".","."
"","300
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","507","3.001","29.2","9.7","33.1","5.1","16.2","3.2","3.0","0.4","0.2",".",".",".",".",".",".","."
"","305
001","73","3.041","13.7","13.7","49.3","13.7","9.6",".",".",".",".",".",".",".",".",".",".","."
"","002
305","67","2.910","14.9","20.9","29.9","11.9","16.4","6.0",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","140","2.979","14.3","17.1","40.0","12.9","12.9","2.9",".",".",".",".",".",".",".",".",".","."
"Nw Vntrs in Bus,Arts&Soc Entrp","320
001","51","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","64","3.305","20.3","35.9","37.5","3.1","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"Contemporary Topics","002
365","47","3.383","38.3","31.9","21.3","2.1",".","4.3","2.1",".",".",".",".",".",".",".",".","."
"","399
096","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","4","***","","","","","","","","","","","","","","","",""
"The Management of Teams","401
001","37","3.392","27.0","32.4","32.4","8.1",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","37","3.597","45.9","29.7","16.2","5.4",".",".",".",".",".",".",".",".","2.7",".",".","."
"","422
002","35","3.429","25.7","40.0","28.6","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","72","3.514","36.1","34.7","22.2","5.6",".",".",".",".",".",".",".",".","1.4",".",".","."
"Strategic Management","423
001","36","3.431","25.0","38.9","33.3","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","40","3.568","35.0","37.5","17.5","2.5",".",".",".",".",".",".",".",".","7.5",".",".","."
"Compensation: Theory & Adm","610
001","28","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","19","3.684","42.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
628","21","3.714","76.2","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","628
002","26","3.692","61.5","19.2","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","030
628","52","3.673","51.9","32.7","13.5","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","99","3.687","59.6","26.3","11.1","2.0",".",".","1.0",".",".",".",".",".",".",".",".","."
"","700
031","35","3.800","65.7","28.6","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","031
700","38","3.908","84.2","13.2","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","73","3.856","75.3","20.5","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","73","3.856","75.3","20.5","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","24","3.792","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","33","3.734","48.5","45.5","3.0",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"","723
001","54","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
723","55","3.573","27.3","60.0","12.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","031
723","38","3.750","55.3","39.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","147","3.612","32.7","57.1","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bhv Anal-Mgt Decisn Making","729
001","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Venture Creation","734
001","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","46","3.457","34.8","26.1","37.0",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","002
765","48","3.594","47.9","27.1","22.9",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","765
031","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 58 of 403"
