"","CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","53","3.009","9.4","26.4","35.8","13.2","15.1",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","76","2.633","5.3","11.8","38.2","18.4","13.2","10.5","1.3",".","1.3",".",".",".",".",".",".","."
"Hydroscience","311","001","","55","3.075","9.1","29.1","30.9","21.8","5.5",".",".","1.8",".",".",".",".","1.8",".",".","."
"Environmental Engineering","320","001","","64","2.836","9.4","34.4","15.6","10.9","25.0","1.6","3.1",".",".",".",".",".",".",".",".","."
"","330","001","","20","2.675","10.0","10.0","30.0","25.0","15.0","10.0",".",".",".",".",".",".",".",".",".","."
"","330","002","","33","2.758","12.1","6.1","30.3","36.4","9.1","6.1",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","","Course Total","","53","2.726","11.3","7.5","30.2","32.1","11.3","7.5",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","52","2.913","28.8","13.5","17.3","7.7","26.9","3.8","1.9",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","11","3.450","54.5","9.1","18.2",".",".","9.1",".",".",".",".",".",".",".",".","9.1","."
"Transportation Engineering","370","001","","61","3.295","34.4","14.8","41.0","1.6","6.6",".","1.6",".",".",".",".",".",".",".",".","."
"","392","001","","29","3.914","86.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","392","002","","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","","Course Total","","49","3.888","83.7","10.2","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","69","3.254","24.6","27.5","30.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Groundwater Hydraulics","412","001","","15","3.464","46.7","6.7","33.3",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Hydrologic Design","414","001","","16","2.964","12.5","18.8","18.8","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","22","3.762","54.5","36.4","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Water Treatmnt Plant Design","428","001","","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","68","3.022","29.4","11.8","35.3","1.5","13.2","7.4","1.5",".",".",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","47","3.777","63.8","27.7","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","18","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","72","3.729","61.1","26.4","9.7","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Hazardous Waste Management","522","001","","14","3.583","35.7","28.6","21.4",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"Steel Structures II","545","001","","15","3.464","33.3","33.3","20.0",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","26","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","72","3.688","61.1","15.3","23.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","56","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","609","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","609","002","","14","3.731","50.0","35.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Spec Topics-Water Chemistry","","Course Total","","23","3.841","69.6","21.7","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Special Topics in Hydrology","619","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Envir Engr","629","001","","6","3.500","33.3","33.3",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Remediation Geotechnics","635","001","","16","3.281","18.8","37.5","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Specl Topic-Structural Engr","649","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topic-Transprtatn&City Plan","679","001","","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","698","001","","10","3.250","20.0","40.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","698","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","","Page 111 of 409",""
