"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"Japanese for Politics&Govrnmnt","Course Total","","11","3.833","36.4","18.2",".",".",".",".",".",".",".",".",".",".","45.5",".",".","."
"470
Engr Prob Solving with Comptrs","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497
Technical Editing","001","","14","3.607","21.4","78.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"499","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","","7","3.875","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"518
Quality Engr & Quality Mgmnt","001","","29","3.911","82.8","10.3","3.4",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"617
Communicating Technical Info","001","","29","3.929","82.8","13.8",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"618
Appl Ldrshp&Mngmt of Engr Orgs","001","","29","3.946","89.7","3.4","3.4",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"622
Engine Design I","001","","18","3.639","44.4","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"626
Engine Project Management","001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"627
Perspectives - Engine Modeling","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Rsch-Japanese Technical Lit","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"641
Essential Skills-Engr Prod","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"643
Engine-Legis Drivers&Alt Fuels","001","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"660","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"660","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Core Comp of Sustainability","Course Total","","3","***","","","","","","","","","","","","","","","",""
"690","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","002","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","009","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","010","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","011","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","73","3.943","84.9","15.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
