"GEOLOGICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","",""
"171
Intro to Geological Engr","001","","58","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"291
Prob Solv Using Cmptr Tools","001","","21","3.048","9.5","28.6","47.6","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"330","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"330","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil Mechanics","Course Total","","6","2.667","16.7",".","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"350
Intro Geophysics:Dynmic  Earth","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"370
Elementary Petrology","001","","12","3.208","25.0","41.7","16.7",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"455
Structural Geology","001","","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"474
Rock Mechanics","001","","19","3.579","47.4","21.1","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"479
Geological Engr Design","001","","19","3.763","73.7","5.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"629
Contaminant Hydrogeology","001","","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"635
Remediation Geotechnics","001","","16","3.233","12.5","25.0","50.0","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"732
Unsaturated Soil Geoengr","001","","14","3.462","42.9","14.3","21.4","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"790","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","072","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"900","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"999
Independent Work","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
