"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","141","3.339","19.9","41.1","28.4","6.4","3.5",".",".",".",".",".",".",".","0.7",".",".","."
"","120","001","63","2.984","14.3","20.6","31.7","17.5","14.3","1.6",".",".",".",".",".",".",".",".",".","."
"","120","002","109","2.885","19.3","17.4","21.1","16.5","21.1","3.7","0.9",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","172","2.922","17.4","18.6","25.0","16.9","18.6","2.9","0.6",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","21","3.071","14.3","42.9","19.0","9.5","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","72","3.190","27.8","16.7","37.5","9.7","4.2",".","2.8",".",".",".",".",".","1.4",".",".","."
"Soil: Ecosystem & Resource","230","001","9","3.813","77.8",".",".","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","9","2.500","11.1","22.2","11.1","22.2",".","11.1","11.1",".",".",".",".",".",".","11.1",".","."
"Introduction to the City","305","001","55","3.328","36.4","25.5","18.2","9.1","7.3",".","1.8","1.8",".",".",".",".",".",".",".","."
"Geomorphology","320","001","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","21","3.325","23.8","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".","4.8",".","."
"","339","001","43","2.762","18.6","4.7","34.9","9.3","23.3","4.7","2.3",".",".",".",".",".",".","2.3",".","."
"","339","002","34","2.735","14.7","11.8","35.3","11.8","14.7","8.8","2.9",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","77","2.750","16.9","7.8","35.1","10.4","19.5","6.5","2.6",".",".",".",".",".",".","1.3",".","."
"World Regions in Global Contxt","340","001","182","2.661","8.8","13.2","26.4","25.3","12.6","5.5","3.8","3.3","0.5",".",".",".","0.5",".",".","."
"Geography of Wisconsin","342","001","38","3.386","31.6","13.2","42.1","5.3",".",".",".","7.9",".",".",".",".",".",".",".","."
"Europe","349","001","137","3.369","43.1","14.6","19.7","8.8","6.6","2.2",".","4.4",".",".",".",".",".",".","0.7","."
"Africa, South of the Sahara","355","001","34","3.059","23.5","5.9","44.1","11.8","14.7",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","54","3.019","22.2","18.5","22.2","22.2","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","40","3.188","10.0","37.5","35.0","15.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","54","3.385","46.3","14.8","14.8","11.1","7.4","1.9",".","1.9",".",".",".",".",".",".","1.9","."
"Introduction to Geocomputing","378","001","24","3.354","29.2","37.5","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geography","475","001","12","3.542","58.3","16.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Hist Geog-European Urbanztn","506","001","31","3.839","67.7","32.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Geography","510","001","21","3.048","28.6","28.6","19.0","9.5","4.8",".","9.5",".",".",".",".",".",".",".",".","."
"Quaternary Vegetation Dynamics","523","001","7","3.800","42.9","28.6",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"Soil Geomorphology","525","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pol Eclgy in Mainland SE Asia","557","001","16","3.375","25.0","43.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Interactive Cart & Geovis","575","001","23","3.636","43.5","34.8","17.4",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"GIS Applications","578","001","23","3.630","47.8","34.8","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","602","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","010","6","",".",".",".",".",".",".",".",".",".","66.7",".",".",".",".",".","."
"Internship","","Course Total","7","",".",".",".",".",".",".",".",".",".","71.4",".",".",".",".",".","."
"Senior Honors Thesis","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
